time,date,dealer_id,part_type,failure
1,2025-01-02,D00,type0,0
1,2025-01-02,D00,type1,1
1,2025-01-02,D00,type2,1
1,2025-01-02,D00,type3,1
2,2025-01-03,D00,type0,0
2,2025-01-03,D00,type1,1
2,2025-01-03,D00,type2,1
2,2025-01-03,D00,type3,1
3,2025-01-04,D00,type0,0
3,2025-01-04,D00,type1,2
3,2025-01-04,D00,type2,2
3,2025-01-04,D00,type3,2
4,2025-01-05,D00,type0,0
4,2025-01-05,D00,type1,2
4,2025-01-05,D00,type2,0
4,2025-01-05,D00,type3,1
5,2025-01-06,D00,type0,0
5,2025-01-06,D00,type1,1
5,2025-01-06,D00,type2,0
5,2025-01-06,D00,type3,0
6,2025-01-07,D00,type0,0
6,2025-01-07,D00,type1,0
6,2025-01-07,D00,type2,1
6,2025-01-07,D00,type3,1
7,2025-01-08,D00,type0,0
7,2025-01-08,D00,type1,1
7,2025-01-08,D00,type2,2
7,2025-01-08,D00,type3,2
8,2025-01-09,D00,type0,0
8,2025-01-09,D00,type1,2
8,2025-01-09,D00,type2,2
8,2025-01-09,D00,type3,1
9,2025-01-10,D00,type0,0
9,2025-01-10,D00,type1,1
9,2025-01-10,D00,type2,6
9,2025-01-10,D00,type3,0
10,2025-01-11,D00,type0,0
10,2025-01-11,D00,type1,0
10,2025-01-11,D00,type2,5
10,2025-01-11,D00,type3,4
11,2025-01-12,D00,type0,0
11,2025-01-12,D00,type1,2
11,2025-01-12,D00,type2,2
11,2025-01-12,D00,type3,1
12,2025-01-13,D00,type0,0
12,2025-01-13,D00,type1,2
12,2025-01-13,D00,type2,3
12,2025-01-13,D00,type3,3
13,2025-01-14,D00,type0,1
13,2025-01-14,D00,type1,0
13,2025-01-14,D00,type2,3
13,2025-01-14,D00,type3,2
14,2025-01-15,D00,type0,1
14,2025-01-15,D00,type1,3
14,2025-01-15,D00,type2,3
14,2025-01-15,D00,type3,4
15,2025-01-16,D00,type0,0
15,2025-01-16,D00,type1,0
15,2025-01-16,D00,type2,2
15,2025-01-16,D00,type3,3
16,2025-01-17,D00,type0,1
16,2025-01-17,D00,type1,1
16,2025-01-17,D00,type2,3
16,2025-01-17,D00,type3,1
17,2025-01-18,D00,type0,1
17,2025-01-18,D00,type1,0
17,2025-01-18,D00,type2,5
17,2025-01-18,D00,type3,3
18,2025-01-19,D00,type0,1
18,2025-01-19,D00,type1,3
18,2025-01-19,D00,type2,2
18,2025-01-19,D00,type3,1
19,2025-01-20,D00,type0,0
19,2025-01-20,D00,type1,3
19,2025-01-20,D00,type2,5
19,2025-01-20,D00,type3,3
20,2025-01-21,D00,type0,1
20,2025-01-21,D00,type1,2
20,2025-01-21,D00,type2,3
20,2025-01-21,D00,type3,7
21,2025-01-22,D00,type0,0
21,2025-01-22,D00,type1,5
21,2025-01-22,D00,type2,7
21,2025-01-22,D00,type3,1
22,2025-01-23,D00,type0,2
22,2025-01-23,D00,type1,3
22,2025-01-23,D00,type2,5
22,2025-01-23,D00,type3,6
23,2025-01-24,D00,type0,0
23,2025-01-24,D00,type1,3
23,2025-01-24,D00,type2,3
23,2025-01-24,D00,type3,3
24,2025-01-25,D00,type0,0
24,2025-01-25,D00,type1,2
24,2025-01-25,D00,type2,4
24,2025-01-25,D00,type3,1
25,2025-01-26,D00,type0,1
25,2025-01-26,D00,type1,2
25,2025-01-26,D00,type2,4
25,2025-01-26,D00,type3,2
26,2025-01-27,D00,type0,2
26,2025-01-27,D00,type1,2
26,2025-01-27,D00,type2,4
26,2025-01-27,D00,type3,4
27,2025-01-28,D00,type0,0
27,2025-01-28,D00,type1,2
27,2025-01-28,D00,type2,1
27,2025-01-28,D00,type3,1
28,2025-01-29,D00,type0,0
28,2025-01-29,D00,type1,0
28,2025-01-29,D00,type2,4
28,2025-01-29,D00,type3,0
29,2025-01-30,D00,type0,1
29,2025-01-30,D00,type1,4
29,2025-01-30,D00,type2,5
29,2025-01-30,D00,type3,7
30,2025-01-31,D00,type0,0
30,2025-01-31,D00,type1,1
30,2025-01-31,D00,type2,3
30,2025-01-31,D00,type3,2
31,2025-02-01,D00,type0,0
31,2025-02-01,D00,type1,3
31,2025-02-01,D00,type2,3
31,2025-02-01,D00,type3,4
32,2025-02-02,D00,type0,1
32,2025-02-02,D00,type1,4
32,2025-02-02,D00,type2,3
32,2025-02-02,D00,type3,2
33,2025-02-03,D00,type0,0
33,2025-02-03,D00,type1,3
33,2025-02-03,D00,type2,4
33,2025-02-03,D00,type3,3
34,2025-02-04,D00,type0,2
34,2025-02-04,D00,type1,2
34,2025-02-04,D00,type2,2
34,2025-02-04,D00,type3,4
35,2025-02-05,D00,type0,1
35,2025-02-05,D00,type1,1
35,2025-02-05,D00,type2,5
35,2025-02-05,D00,type3,3
36,2025-02-06,D00,type0,0
36,2025-02-06,D00,type1,1
36,2025-02-06,D00,type2,5
36,2025-02-06,D00,type3,0
37,2025-02-07,D00,type0,4
37,2025-02-07,D00,type1,4
37,2025-02-07,D00,type2,4
37,2025-02-07,D00,type3,3
38,2025-02-08,D00,type0,0
38,2025-02-08,D00,type1,2
38,2025-02-08,D00,type2,2
38,2025-02-08,D00,type3,3
39,2025-02-09,D00,type0,0
39,2025-02-09,D00,type1,1
39,2025-02-09,D00,type2,3
39,2025-02-09,D00,type3,4
40,2025-02-10,D00,type0,1
40,2025-02-10,D00,type1,3
40,2025-02-10,D00,type2,5
40,2025-02-10,D00,type3,3
41,2025-02-11,D00,type0,1
41,2025-02-11,D00,type1,5
41,2025-02-11,D00,type2,8
41,2025-02-11,D00,type3,1
42,2025-02-12,D00,type0,2
42,2025-02-12,D00,type1,2
42,2025-02-12,D00,type2,3
42,2025-02-12,D00,type3,7
43,2025-02-13,D00,type0,1
43,2025-02-13,D00,type1,2
43,2025-02-13,D00,type2,1
43,2025-02-13,D00,type3,6
44,2025-02-14,D00,type0,1
44,2025-02-14,D00,type1,2
44,2025-02-14,D00,type2,5
44,2025-02-14,D00,type3,3
45,2025-02-15,D00,type0,1
45,2025-02-15,D00,type1,7
45,2025-02-15,D00,type2,7
45,2025-02-15,D00,type3,4
46,2025-02-16,D00,type0,1
46,2025-02-16,D00,type1,1
46,2025-02-16,D00,type2,5
46,2025-02-16,D00,type3,5
47,2025-02-17,D00,type0,3
47,2025-02-17,D00,type1,6
47,2025-02-17,D00,type2,4
47,2025-02-17,D00,type3,3
48,2025-02-18,D00,type0,2
48,2025-02-18,D00,type1,3
48,2025-02-18,D00,type2,7
48,2025-02-18,D00,type3,3
49,2025-02-19,D00,type0,2
49,2025-02-19,D00,type1,4
49,2025-02-19,D00,type2,3
49,2025-02-19,D00,type3,2
50,2025-02-20,D00,type0,2
50,2025-02-20,D00,type1,7
50,2025-02-20,D00,type2,4
50,2025-02-20,D00,type3,3
51,2025-02-21,D00,type0,0
51,2025-02-21,D00,type1,3
51,2025-02-21,D00,type2,6
51,2025-02-21,D00,type3,5
52,2025-02-22,D00,type0,0
52,2025-02-22,D00,type1,1
52,2025-02-22,D00,type2,6
52,2025-02-22,D00,type3,2
53,2025-02-23,D00,type0,0
53,2025-02-23,D00,type1,1
53,2025-02-23,D00,type2,5
53,2025-02-23,D00,type3,2
54,2025-02-24,D00,type0,2
54,2025-02-24,D00,type1,1
54,2025-02-24,D00,type2,3
54,2025-02-24,D00,type3,0
55,2025-02-25,D00,type0,0
55,2025-02-25,D00,type1,3
55,2025-02-25,D00,type2,5
55,2025-02-25,D00,type3,3
56,2025-02-26,D00,type0,0
56,2025-02-26,D00,type1,2
56,2025-02-26,D00,type2,4
56,2025-02-26,D00,type3,2
57,2025-02-27,D00,type0,0
57,2025-02-27,D00,type1,3
57,2025-02-27,D00,type2,7
57,2025-02-27,D00,type3,2
58,2025-02-28,D00,type0,1
58,2025-02-28,D00,type1,3
58,2025-02-28,D00,type2,9
58,2025-02-28,D00,type3,2
59,2025-03-01,D00,type0,0
59,2025-03-01,D00,type1,3
59,2025-03-01,D00,type2,7
59,2025-03-01,D00,type3,4
60,2025-03-02,D00,type0,2
60,2025-03-02,D00,type1,0
60,2025-03-02,D00,type2,2
60,2025-03-02,D00,type3,3
61,2025-03-03,D00,type0,2
61,2025-03-03,D00,type1,5
61,2025-03-03,D00,type2,4
61,2025-03-03,D00,type3,0
62,2025-03-04,D00,type0,0
62,2025-03-04,D00,type1,2
62,2025-03-04,D00,type2,4
62,2025-03-04,D00,type3,2
63,2025-03-05,D00,type0,2
63,2025-03-05,D00,type1,1
63,2025-03-05,D00,type2,1
63,2025-03-05,D00,type3,1
64,2025-03-06,D00,type0,2
64,2025-03-06,D00,type1,2
64,2025-03-06,D00,type2,4
64,2025-03-06,D00,type3,1
65,2025-03-07,D00,type0,1
65,2025-03-07,D00,type1,1
65,2025-03-07,D00,type2,3
65,2025-03-07,D00,type3,1
66,2025-03-08,D00,type0,1
66,2025-03-08,D00,type1,1
66,2025-03-08,D00,type2,3
66,2025-03-08,D00,type3,4
67,2025-03-09,D00,type0,2
67,2025-03-09,D00,type1,7
67,2025-03-09,D00,type2,0
67,2025-03-09,D00,type3,1
68,2025-03-10,D00,type0,0
68,2025-03-10,D00,type1,2
68,2025-03-10,D00,type2,6
68,2025-03-10,D00,type3,4
69,2025-03-11,D00,type0,0
69,2025-03-11,D00,type1,0
69,2025-03-11,D00,type2,4
69,2025-03-11,D00,type3,5
70,2025-03-12,D00,type0,4
70,2025-03-12,D00,type1,2
70,2025-03-12,D00,type2,6
70,2025-03-12,D00,type3,5
71,2025-03-13,D00,type0,0
71,2025-03-13,D00,type1,3
71,2025-03-13,D00,type2,0
71,2025-03-13,D00,type3,2
72,2025-03-14,D00,type0,4
72,2025-03-14,D00,type1,2
72,2025-03-14,D00,type2,6
72,2025-03-14,D00,type3,1
73,2025-03-15,D00,type0,1
73,2025-03-15,D00,type1,4
73,2025-03-15,D00,type2,4
73,2025-03-15,D00,type3,1
74,2025-03-16,D00,type0,0
74,2025-03-16,D00,type1,2
74,2025-03-16,D00,type2,4
74,2025-03-16,D00,type3,3
75,2025-03-17,D00,type0,4
75,2025-03-17,D00,type1,8
75,2025-03-17,D00,type2,5
75,2025-03-17,D00,type3,0
76,2025-03-18,D00,type0,2
76,2025-03-18,D00,type1,1
76,2025-03-18,D00,type2,3
76,2025-03-18,D00,type3,1
77,2025-03-19,D00,type0,0
77,2025-03-19,D00,type1,1
77,2025-03-19,D00,type2,4
77,2025-03-19,D00,type3,1
78,2025-03-20,D00,type0,0
78,2025-03-20,D00,type1,3
78,2025-03-20,D00,type2,3
78,2025-03-20,D00,type3,4
79,2025-03-21,D00,type0,1
79,2025-03-21,D00,type1,3
79,2025-03-21,D00,type2,3
79,2025-03-21,D00,type3,0
80,2025-03-22,D00,type0,1
80,2025-03-22,D00,type1,1
80,2025-03-22,D00,type2,6
80,2025-03-22,D00,type3,1
81,2025-03-23,D00,type0,2
81,2025-03-23,D00,type1,4
81,2025-03-23,D00,type2,2
81,2025-03-23,D00,type3,3
82,2025-03-24,D00,type0,0
82,2025-03-24,D00,type1,2
82,2025-03-24,D00,type2,5
82,2025-03-24,D00,type3,4
83,2025-03-25,D00,type0,2
83,2025-03-25,D00,type1,2
83,2025-03-25,D00,type2,4
83,2025-03-25,D00,type3,4
84,2025-03-26,D00,type0,4
84,2025-03-26,D00,type1,1
